method,solution_id,policy,gameweeks,unique_squad_memberships,external_transfers,transfer_hit_points,unique_captains,unique_vice_captains,unique_starting_lineups,unique_bench_orders,audit_pass
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=70,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=70,sequential,12,1,0,0,1,1,5,6,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=75,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=75,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=75,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=75,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=80,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=80,sequential,12,1,0,0,1,1,5,6,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=80,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=80,sequential,12,1,0,0,1,1,5,6,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=83.5,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=83.5,sequential,12,1,0,0,1,1,3,5,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=83.5,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=83.5,sequential,12,1,0,0,1,1,4,5,True
Weighted average,Weighted average | joint_pareto | delta=0.000,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.000,sequential,12,1,0,0,1,1,4,5,True
Weighted average,Weighted average | joint_pareto | delta=0.005,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.005,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | joint_pareto | delta=0.010,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.010,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | joint_pareto | delta=0.020,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.020,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | joint_pareto | delta=0.050,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.050,sequential,12,1,0,0,1,1,3,4,True
Weighted average,Weighted average | joint_pareto | delta=0.100,static,12,1,0,0,1,1,1,1,True
Weighted average,Weighted average | joint_pareto | delta=0.100,sequential,12,1,0,0,1,1,3,4,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=55",sequential,12,1,0,0,1,1,4,8,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=55",sequential,12,1,0,0,1,1,4,8,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=60",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=60",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=65",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=65",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=70",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=70",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=75",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=75",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=80",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=80",sequential,12,1,0,0,1,1,6,6,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",sequential,12,1,0,0,1,1,2,3,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",sequential,12,1,0,0,1,1,2,3,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",sequential,12,1,0,0,1,1,1,2,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",sequential,12,1,0,0,1,1,2,3,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",sequential,12,1,0,0,1,1,4,4,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",sequential,12,1,0,0,1,1,6,6,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",sequential,12,1,0,0,1,1,6,6,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",static,12,1,0,0,1,1,1,1,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",sequential,12,1,0,0,1,1,6,6,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=55",sequential,12,1,0,0,1,1,6,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=55",sequential,12,1,0,0,1,1,6,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=60",sequential,12,1,0,0,1,1,5,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=60",sequential,12,1,0,0,1,1,5,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=65",sequential,12,1,0,0,1,1,5,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=65",sequential,12,1,0,0,1,1,5,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=70",sequential,12,1,0,0,1,1,4,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=70",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=75",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=75",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=80",sequential,12,1,0,0,1,1,7,7,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=80",sequential,12,1,0,0,1,1,3,4,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=83.5",sequential,12,1,0,0,1,1,3,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",sequential,12,1,0,0,1,1,3,6,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",sequential,12,1,0,0,1,1,3,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",sequential,12,1,0,0,1,1,3,6,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",sequential,12,1,0,0,1,1,3,4,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",sequential,12,1,0,0,1,1,4,5,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",sequential,12,1,0,0,1,1,4,4,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",sequential,12,1,0,0,1,1,6,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=55",sequential,12,1,0,0,1,1,5,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=55",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=55",sequential,12,1,0,0,1,1,5,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=60",sequential,12,1,0,0,1,1,4,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=60",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=60",sequential,12,1,0,0,1,1,4,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=65",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=65",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=65",sequential,12,1,0,0,1,1,5,5,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=70",sequential,12,1,0,0,1,1,7,7,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=70",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=70",sequential,12,1,0,0,1,1,7,7,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=75",sequential,12,1,0,0,1,1,9,9,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=75",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=75",sequential,12,1,0,0,1,1,9,9,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=80",sequential,12,1,0,0,1,1,4,5,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=80",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=80",sequential,12,1,0,0,1,1,4,5,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=83.5",sequential,12,1,0,0,1,1,6,7,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=83.5",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=83.5",sequential,12,1,0,0,1,1,4,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.000",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.000",sequential,12,1,0,0,1,1,4,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.005",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.005",sequential,12,1,0,0,1,1,5,6,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.010",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.010",sequential,12,1,0,0,1,1,7,8,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.020",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.020",sequential,12,1,0,0,1,1,7,8,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",sequential,12,1,0,0,1,1,7,8,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.100",static,12,1,0,0,1,1,1,1,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.100",sequential,12,1,0,0,1,1,7,8,True
