method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=65",sequential,633.0,52.75,13,56.0,26,"Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,57.799470441000935,18.101941228206414,65.0,30.2,95.2,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=65",static,621.0,51.75,15,64.0,28,"Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,57.799470441000935,18.101941228206414,65.0,30.2,95.2,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=70",sequential,731.0,60.916666666666664,15,20.0,28,"Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,60.1769859428958,16.53776933833069,69.7,30.299999999999997,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=70",static,726.0,60.5,10,33.0,23,"Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,60.1769859428958,16.53776933833069,69.7,30.299999999999997,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=75",sequential,762.0,63.5,16,35.0,24,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,61.4339728554266,16.09227108364903,74.89999999999999,25.000000000000004,99.89999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=75",static,753.0,62.75,11,56.0,19,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,61.4339728554266,16.09227108364903,74.89999999999999,25.000000000000004,99.89999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=80",sequential,755.0,62.916666666666664,10,23.0,18,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,62.65142026382138,14.942780569327713,79.89999999999999,20.1,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=80",static,738.0,61.5,13,52.0,21,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,62.65142026382138,14.942780569327713,79.89999999999999,20.1,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",sequential,666.0,55.5,16,57.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",static,672.0,56.0,16,74.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=55",sequential,561.0,46.75,10,34.0,20,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,49.09890798575171,22.376334303257057,55.00000000000001,40.8,95.80000000000001,5-4-1,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=55",static,544.0,45.333333333333336,18,116.0,28,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,49.09890798575171,22.376334303257057,55.00000000000001,40.8,95.80000000000001,5-4-1,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=60",sequential,625.0,52.083333333333336,13,48.0,27,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,54.17153866429541,18.11409049838767,59.800000000000004,26.0,85.80000000000001,3-5-2,Bukayo Saka,Cole Palmer
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=60",static,639.0,53.25,18,100.0,32,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,54.17153866429541,18.11409049838767,59.800000000000004,26.0,85.80000000000001,3-5-2,Bukayo Saka,Cole Palmer
